epidemic_level,area_name,date,lng,lat,addr,id
未知,崇明区,2022-05-25,121.83490677850679,31.534343421864495,上海市崇明区,0
未知,静安区,2022-05-25,121.45405431967913,31.23074171456077,上海市静安区,1
未知,静安区,2022-05-25,121.44967902336091,31.248418812292332,上海市静安区,2
未知,长宁区,2022-05-25,121.41116592546479,31.205048078909197,上海市长宁区,3
未知,静安区,2022-05-25,121.4576254447835,31.254092626606347,上海市静安区,4
未知,闵行区,2022-05-25,121.38882294719187,31.15763371472933,上海市闵行区,5
未知,静安区,2022-05-25,121.46652151605434,31.26602209354551,上海市静安区,6
未知,杨浦区,2022-05-25,121.55128527628769,31.28728241257492,上海市杨浦区,7
未知,普陀区,2022-05-25,121.3753355076097,31.245481645956858,上海市普陀区,8
未知,静安区,2022-05-25,121.47098265887652,31.269558655733942,上海市静安区,9
未知,杨浦区,2022-05-25,121.54539585940462,31.301090468050283,上海市杨浦区,10
未知,徐汇区,2022-05-25,121.44402441766326,31.21989316803015,上海市徐汇区,11
未知,长宁区,2022-05-25,121.39662537540835,31.211610915720403,上海市长宁区鑫达大厦仙霞新村,12
未知,杨浦区,2022-05-25,121.5404742448098,31.33235420110691,上海市杨浦区,13
未知,徐汇区,2022-05-25,121.42456197926568,31.164306600838355,上海市徐汇区,14
未知,虹口区,2022-05-25,121.50240240969815,31.279051781700893,上海市虹口区,15
未知,闵行区,2022-05-25,121.45690311424335,31.047221760812494,上海市闵行区,16
未知,杨浦区,2022-05-25,121.521415400202,31.269251613325785,上海市杨浦区,17
未知,静安区,2022-05-25,121.45871127730503,31.29284591203891,上海市静安区,18
未知,徐汇区,2022-05-25,121.43139511352516,31.17411573255824,上海市徐汇区,19
未知,闵行区,2022-05-25,121.37072984551911,31.038347447354823,上海市闵行区,20
未知,虹口区,2022-05-25,121.47880839071561,31.277826248957894,上海市虹口区广中路街道中山北一路82号花园商务楼11楼,21
未知,宝山区,2022-05-25,121.48928045066454,31.405105739369766,上海市宝山区,22
未知,普陀区,2022-05-25,121.4361246984319,31.247693878669153,上海市普陀区,23
未知,长宁区,2022-05-25,121.40880731764454,31.216959058639933,上海市长宁区,24
未知,静安区,2022-05-25,121.46399624032607,31.28156989081129,上海市静安区,25
未知,徐汇区,2022-05-25,121.4406694602491,31.211339805986704,上海市徐汇区,26
未知,普陀区,2022-05-25,121.40301156532594,31.26455833064264,上海市普陀区,27
未知,徐汇区,2022-05-25,121.43879266409145,31.196446639561955,上海市徐汇区,28
未知,静安区,2022-05-25,121.46233393020957,31.31856000445605,上海市静安区,29
未知,杨浦区,2022-05-25,121.5196109365529,31.27453541656915,上海市杨浦区,30
未知,闵行区,2022-05-25,121.42826121874803,31.11132867137761,上海市闵行区,31
未知,闵行区,2022-05-25,121.41974339241979,31.01736041351575,上海市闵行区,32
未知,长宁区,2022-05-25,121.42802000472508,31.213179610420106,上海市长宁区,33
未知,崇明区,2022-05-25,121.6206569839395,31.54433875468959,上海市崇明区,34
未知,普陀区,2022-05-25,121.40685976406468,31.279789108762376,上海市普陀区,35
未知,奉贤区,2022-05-25,121.4609993828914,30.950708696094487,上海市奉贤区,36
未知,杨浦区,2022-05-25,121.5352046558555,31.2924263419495,上海市杨浦区,37
未知,闵行区,2022-05-25,121.50316811608855,31.113493189808047,上海市闵行区,38
未知,松江区,2022-05-25,121.31316265697725,31.14957411731595,上海市松江区,39
未知,黄浦区,2022-05-25,121.48987223627122,31.232964551734803,上海市黄浦区,40
未知,虹口区,2022-05-25,121.49805533402264,31.295977882710055,上海市虹口区,41
未知,徐汇区,2022-05-25,121.46487217924187,31.197636338731954,上海市徐汇区,42
未知,黄浦区,2022-05-25,121.47385021977567,31.234264287610383,上海市黄浦区,43
未知,黄浦区,2022-05-25,121.47164831394856,31.229191498971606,上海市黄浦区,44
未知,徐汇区,2022-05-25,121.42483480899449,31.1823307179238,上海市徐汇区,45
未知,静安区,2022-05-25,121.44069223131179,31.237679493174582,上海市静安区曹家渡瀚林府邸(武定路北),46
未知,普陀区,2022-05-25,121.41212775216184,31.249810802266502,上海市普陀区,47
未知,杨浦区,2022-05-25,121.5242269281873,31.3371826133412,上海市杨浦区,48
未知,虹口区,2022-05-25,121.49462968336461,31.275967815126865,上海市虹口区,49
未知,杨浦区,2022-05-25,121.52272476086856,31.31643917073787,上海市杨浦区,50
未知,静安区,2022-05-25,121.44538555033641,31.232977783667494,上海市静安区,51
未知,黄浦区,2022-05-25,121.4834130602585,31.24729688678015,上海市黄浦区,52
未知,杨浦区,2022-05-25,121.52997392887721,31.292273570016647,上海市杨浦区,53
未知,嘉定区,2022-05-25,121.24155382738567,31.380414145716966,上海市嘉定区,54
未知,虹口区,2022-05-25,121.47293932579835,31.302499587886796,上海市虹口区,55
未知,静安区,2022-05-25,121.45935639846844,31.243878433989675,上海市静安区,56
未知,黄浦区,2022-05-25,121.50325681072286,31.22772402318392,上海市黄浦区,57
未知,普陀区,2022-05-25,121.43253286784967,31.269827430849098,上海市普陀区,58
未知,杨浦区,2022-05-25,121.52198862369666,31.313002480786093,上海市杨浦区,59
未知,嘉定区,2022-05-25,121.27178855316403,31.393738268608303,上海市嘉定区,60
未知,静安区,2022-05-25,121.44703798655016,31.32118031009687,上海市静安区,61
未知,黄浦区,2022-05-25,121.4754906965575,31.211544604976876,上海市黄浦区,62
未知,长宁区,2022-05-25,121.37653593617851,31.226272394654877,上海市长宁区,63
未知,长宁区,2022-05-25,121.37469044548759,31.219757123849817,上海市长宁区,64
