route_a,route_b
广州百货A车旅用品仓1号库（新）,757F003
757F003,512F011
512F011,021F008
上海亚一3CA数码通讯仓2号库,021Y072
上海亚洲一号中件库（临时）,021F008
武汉亚一3CA数码通讯仓1号库,027F060
北京亚一综合A仓1号库,010F022
010F022,316F011
金华金义保税平台协同仓1号库,571F098
571F098,512F055
上海公共平台仓22号库,512F065
武汉东西湖保税综合仓1号库,027F010
027F010,027F074
北京生活小电仓1号库,022F005
022F005,316F011
上海公共平台仓4号库,021F008
上海商超A个护清洁仓9号库,021F008
上海百货B家居日用仓7号库,512F055
上海大王商超协同仓,021F008
重庆巴南保税综合仓1号库,028F078
028F078,512F055
武汉亚一公共平台仓3号库,027F060
上海百货B家具建材仓3号库,021Y072
武汉亚一3CB电脑办公仓1号库,027F060
上海生鲜仓4号库（新）,021F008
512F012,312F004
312F004,316F011
上海亚一服装仓4号库,021Y072
上海公共平台仓22号库,573F001
573F001,512F055
济南百货B家居日用仓3号库,316F021
316F021,512F012
573F001,021F008
上海公共平台仓15号库,571F099
上海3CA电脑办公仓3号库,021Y072
广州商超A休闲食品仓3号库,020F242
020F242,512F012
上海公共平台仓11号库,571F099
北京百货A仓2号库,010F013
010F013,512F065
上海商超A休闲食品仓2号库,021Y072
571F098,021F008
中山产协仓1号库,760F001
760F001,512F055
上海亚一商超B个护清洁仓1号库,021Y072
北京图书音像仓2号库,010F013
北京亚一综合A仓1号库,021Y072
杭州下沙保税宠物协同仓1号库,571F022
北京商超A休闲食品仓6号库,022F024
022F024,316F011
北京药品仓2号库,010F013
010F013,HC
HC,MH
MH,021F021
021F021,512F004
上海商超B米面粮油仓1号库,021Y072
上海亚一商超A休闲食品仓2号库,021Y072
武汉药品仓1号库,027F060
上海亚一商超B牛奶水饮仓7号库,021Y072
广州亚一服装仓5号库,020F009
769F001,512F055
北京商超B母婴玩具仓1号库,316F011
上海服装仓1号库,021Y072
512F008,021F009
021F009,021F052
021F052,021F008
包头伊利产地仓T1号库,471F002
471F002,027F074
北京服装仓4号库,316F011
德州综合A仓1号库,531F001
531F001,316F021
316F021,512F065
沈阳医疗器械仓5号库,024F043
济南商超A个护清洁仓2号库,531F001
769F001,021F051
021F051,021F008
上海公共平台仓16号库,571F099
上海大王商超协同仓,512F055
512F008,510F004
510F004,571F099
武汉亚一3CA数码通讯仓1号库,027F010
上海虹桥保税综合仓2号库,512F004
上海商超A个护清洁仓12号库,021F008
,024F004
316F021,JNXZ
JNXZ,SHHQHCZ
SHHQHCZ,512F007
512F007,512F011
512F011,512F055
上海公共平台仓14号库,571F099
上海亚一商超A个护清洁仓4号库,512F008
上海3CA数码通讯仓1号库,021Y072
济南医疗器械仓1号库,316F021
上海服装仓N5号库,512F004
包头伊利产地仓1号库,472F002
472F002,316F011
上海生鲜仓3号库（新）,512F008
北京服装仓10号库,022F022
北京医疗器械仓1号库,010F172
武汉亚一医疗器械仓2号库,021Y072
成都亚一商超A个护清洁仓2号库,028F029
厦门海沧保税仓1号库,592F009
592F009,595F005
595F005,512F055
371F027,ZZZ
ZZZ,SHHQHCZ
592F009,512F011
上海生鲜仓2号库（新）,021Y072
上海亚一商超A个护清洁仓2号库,021Y072
沈阳亚一百货A仓1号库（临时）,021Y072
北京服装仓9号库,010F172
宁波北仑保税综合仓1号库,571F022
沈阳服装仓1号库,024F004
上海公共平台仓11号库,021F008
成都亚一综合B仓1号库,028F029
028F020,512F012
广州商超A个护清洁仓3号库,020F242
上海公共平台仓13号库,021F008
北京天竺保税药品协同仓1号库,010F017
广州宝洁商超协同仓,020F060
020F060,020F242
上海沃尔玛KA仓1号库,021Y072
西安亚一商超A个护清洁仓4号库,029F678
029F678,029F270
029F270,512F055
广州药品仓2号库,020F041
020F041,769F001
北京图书音像仓2号库,010F172
北京百货A家具建材仓1号库,316F011
上海洁柔商超协同仓,512F008
上海亚一生活小电仓2号库,021Y072
上海大王商超协同仓,021Y072
上海服装仓N5号库,021F008
上海公共平台仓20号库,573F001
北京服装仓3号库,010F017
深圳兴围营业部,755F009
上海商超B牛奶水饮仓6号库,021Y072
泰州药品仓1号库,571F099
512F008,021Y072
西安生活小电仓1号库,029F270
512F055,512F004
025F005,512F055
北京图书音像仓1号库,010F017
上海服装仓2号库,021Y072
广州服装仓5号库,769F001
天津药品仓1号库,021Y072
上海商超A个护清洁仓11号库,021F008
济南综合A仓1号库,531F001
755F009,512F012
广州服装仓3号库,769F001
上海亚一百货B家居日用仓2号库,021Y072
上海亚一商超B牛奶水饮仓2号库,021Y072
020F009,020F242
020F242,021F008
上海医疗器械仓3号库,021Y072
西安亚一3CA仓3号库,029F678
西宁本地仓1号库（新）,971F002
971F002,029F270
西安百货A仓1号库,029F270
上海百货B家居日用仓6号库,512F055
北京百货B家居日用仓5号库,022F021
022F021,316F011
北京服装仓7号库,021Y072
重庆药品仓1号库,023F003
023F003,028F020
北京服装仓2号库,316F011
上海服装仓3号库,021Y072
上海百货B车旅用品仓1号库,021Y072
泰州药品仓1号库,021Y072
德州3CB电脑办公仓1号库,316F021
武汉新港分拣中心,027F074
上海周黑鸭无界工厂仓,513F002
杭州下沙保税平台协同仓2号库,571F022
上海3CA通讯专用仓1号库,021F015
上海商超B母婴玩具仓4号库,021Y072
上海品利商超协同仓,021F008
上海三只松鼠KA仓1号库,021Y072
北京服装仓9号库,010F013
010F022,010F172
广州亚一服装仓4号库,020F009
西安亚一3CA仓1号库,029F678
天津药品仓1号库,022F002
022F002,512F004
成都亚一百货B家居日用仓3号库,028F020
北京服装仓2号库,010F017
广州服装仓6号库,769F001
北京联想3C协同仓,010F017
上海亚一综合A仓1号库,021Y072
德州医疗器械仓1号库,316F021
西安百货B家居日用仓2号库,029F270
029F270,571F099
上海公共平台仓17号库,571F099
武汉商超B个护清洁仓3号库,027F002
广州商超A休闲食品仓1号库,757F003
北京商超B牛奶水饮仓7号库,316F003
316F003,316F011
北京百货A家具建材仓1号库,010F017
010F013,316F011
北京百货B家具建材仓3号库,022F022
北京百货B家居日用仓3号库,010F017
010F017,512F055
上海隆力奇KA仓1号库,021Y072
北京百货A家具建材仓1号库,010F172
北京服装仓11号库,022F043
武汉商超B母婴玩具仓1号库,027F074
中山传站车队,755F035
755F035,760F001
760F001,512F004
武汉沃尔玛KA仓1号库,027F074
北京综合仓1号库,316F011
